index;Titel;Autor_normalisiert;Jahr;Geschlecht;Gattung;all_words_count;AbstConc;anteil_AbstConc
748;Der Übergang;David, Jakob Julius;1902;;;50076;10.268.152.000.000.300;20.505.136.192.987.300
749;Brausejahre;Decken, A. v. d.;1885;;;83470;19.419.667.599.999.500;2.326.544.578.890.560
751;Zwei Menschen;Dehmel, Richard;1903;;;25832;6.084.470.399.999.990;2.355.400.433.570.760
775;Die Amazone;Dingelstedt, Franz;1869;;;73667;17.866.671.599.999.600;24.253.290.618.594.000
776;Die neuen Argonauten;Dingelstedt, Franz;1839;;;40141;9.412.391.800.000.310;23.448.324.157.346.100
785;Die erschreckliche Flut von 1634 und der Untergang von Alt-Nordstrand;Dose, Johannes;1896;;;62024;1.418.039.470.000.010;22.862.754.256.417.100
787;Der Muttersohn – Band I;Dose, Johannes;1904;;;89064;21.217.531.299.999.300;2.382.279.181.262.830
788;Der Muttersohn – Band II;Dose, Johannes;1904;;;82695;19.347.198.899.999.600;233.958.508.978.773
791;Der Doppelgänger;Dostojewski, Fjodr Michailowitsch;1920;;;62226;13.628.346.900.000.800;21.901.370.648.926.200
793;Das Gut Stepantschikowo und seine Bewohner;Dostojewski, Fjodr Michailowitsch;1900;;;88307;1.872.334.040.000.000;212.025.551.768.264
794;Der Jüngling;Dostojewski, Fjodr Michailowitsch;1875;;;250645;5.351.850.960.001.300;21.352.314.867.646.600
795;Die Brüder Karamasow;Dostojewski, Fjodr Michailowitsch;1880;;;362483;7.963.411.579.999.790;21.969.062.218.089.600
797;Der Spieler;Dostojewski, Fjodr Michailowitsch;1888;;;60606;1.288.477.840.000.050;21.259.905.619.906.500
798;Aufzeichnungen aus einem toten Hause;Dostojewski, Fjodr Michailowitsch;1900;;;119273;2.634.225.869.999.790;22.085.684.689.743.600
827;Marquise von Pompadour;Duncker, Dora;1912;;;74662;17.207.203.599.999.900;23.046.802.389.434.900
830;Eine ägyptische Königstochter Bd. I;Ebers, Georg;1864;;;201221;4.227.393.330.000.240;21.008.708.484.702.100
831;Per aspera;Ebers, Georg;1892;;;204946;44.189.756.300.003.500;21.561.658.339.271.500
832;Ein Wort;Ebers, Georg;1883;;;95407;21.900.104.699.999.100;229.544.003.060.563
833;Die Frau Bürgemeisterin;Ebers, Georg;1880;;;96309;2.200.134.409.999.920;22.844.535.920.837.400
834;Die Gred;Ebers, Georg;1889;;;146565;29.916.498.099.999.200;20.411.761.402.790.000
835;Homo sum;Ebers, Georg;1878;;;82788;17.817.752.599.999.800;21.522.144.030.535.600
836;Der Kaiser;Ebers, Georg;1881;;;168205;37.599.183.000.002.200;2.235.318.985.761.550
837;Die Geschichte meines Lebens;Ebers, Georg;1893;;;125253;2.778.032.099.999.880;2.217.936.576.369.330
838;Die Nilbraut;Ebers, Georg;1887;;;210977;4.596.503.400.000.340;21.786.751.162.450.600
839;Im Schmiedefeuer;Ebers, Georg;1894;;;152373;331.285.470.000.005;21.741.743.615.995.200
840;Die Schwestern;Ebers, Georg;1880;;;93913;2.064.547.629.999.960;21.983.619.200.749.200
841;Die Schwestern;Ebers, Georg;1880;;;94625;20.329.401.199.999.800;21.484.175.640.686.700
842;Serapis;Ebers, Georg;1885;;;106919;23.023.259.999.998.500;2.153.336.638.015.550
843;Uarda;Ebers, Georg;1877;;;176701;378.875.903.000.029;21.441.638.870.183.400
844;Die arme Kleine;Ebner-Eschenbach, Marie von;1903;;;58503;1.322.500.830.000.050;22.605.692.528.589.200
845;Erzählungen und andere Werke;Ebner-Eschenbach, Marie von;1845;;;309126;69.060.165.299.998;2.234.045.835.678.590
858;Nero;Eckstein, Ernst;1889;;;128787;27.000.359.699.998.700;2.096.512.823.499.160
862;Der kleine Johannes;Eeden, Frederik van;1860;;;154448;3.642.250.830.000.350;2.358.237.613.954.440
868;Adam Bede – Erster Band;Eliot, George;1859;;;112338;25.555.848.299.998.500;2.274.906.825.829.060
869;Adam Bede – Zweiter Band;Eliot, George;1860;;;94645;20.642.681.399.999.900;2.181.064.123.831.150
871;Streifzüge durch Celebes;Emmerich, Ferdinand;1920;;;53583;12.723.002.100.000.500;2.374.447.511.337.640
877;Hann Klüth;Engel, Georg;1905;;;91100;20.928.672.199.999.700;2.297.329.549.945.080
878;Die Last;Engel, Georg;1898;;;50075;11.960.287.300.000.200;23.884.747.478.782.300
879;Claus Störtebecker;Engel, Georg;1920;;;116772;27.140.756.399.998.100;23.242.520.809.781.500
882;Lieber Fritz;"Erckmann, Emile; Chatrian, Alessandre";1882;;;65641;1.610.442.839.999.990;2.453.409.972.425.760
883;Geschichte eines Anno 1813 Konskribierten;"Erckmann; Chatrian";1789;;;64857;14.833.608.200.000.200;22.871.252.447.692.900
888;Satiren, Fabeln, Epigramme, Aphorismen;Ernst, Otto;1904;;;63026;13.949.580.300.000.500;22.133.056.675.023.900
892;Asmus Sempers Jugendland;Ernst, Otto;1905;;;71641;1.698.693.920.000.000;2.371.119.777.780.880
893;Semper der Jüngling;Ernst, Otto;1908;;;81861;18.509.797.699.999.900;22.611.252.855.450.000
894;Semper der Mann;Ernst, Otto;1916;;;96800;2.186.044.209.999.880;2.258.310.134.297.400
901;Saat auf Hoffnung;Ernst, Paul;1916;;;70572;16.991.560.300.000.200;24.076.914.782.066.800
903;Freiheit die ich meine;Ertl, Emil;1909;;;193285;42.691.597.100.007.400;22.087.382.414.573.000
904;Die Leute vom Blauen Guguckshaus;Ertl, Emil;1906;;;118565;24.759.870.599.999.700;2.088.295.078.648.820
905;Auf der Wegwacht;Ertl, Emil;1911;;;126989;2.789.844.029.999.950;21.969.178.669.018.200
909;Die Erlkönigin;Eschstruth, Nataly von;1899;;;53598;13.040.779.300.000.300;24.330.719.989.552.400
910;Frühlingsstürme;Eschstruth, Nataly von;1899;;;58133;13.253.781.400.000.400;2.279.906.662.308.920
911;Gänseliesel;Eschstruth, Nataly von;1886;;;121875;2.905.572.539.999.970;2.384.059.519.999.980
912;Jung gefreit - 1;Eschstruth, Nataly von;1897;;;60419;14.216.981.100.000.400;23.530.646.154.356.200
913;Jung gefreit - 2;Eschstruth, Nataly von;1897;;;56105;13.114.571.700.000.500;23.375.049.817.307.800
914;Hofluft;Eschstruth, Nataly von;1889;;;49764;11.973.591.700.000.400;2.406.075.014.066.470
915;Hofluft;Eschstruth, Nataly von;1889;;;54807;13.325.528.700.000.200;24.313.552.465.926.300
916;Die Bären von Hohen-Esp;Eschstruth, Nataly von;1899;;;59824;1.463.076.569.999.990;2.445.634.812.115.520
917;Der Stern des Glücks;Eschstruth, Nataly von;1896;;;79550;18.538.363.699.999.700;23.304.039.849.151.100
918;Der verlorene Sohn;Eschstruth, Nataly von;1913;;;95467;2.249.813.709.999.860;2.356.640.210.753.310
923;Der Kampf um die Cheopspyramide;Eyth, Max;1902;;;213208;4.936.647.590.000.540;2.315.413.863.457.530
931;Hinter Pflug und Schraubstock;Eyth, Max;1899;;;154892;36.809.345.900.003;2.376.452.360.354.500
932;Der Schneider von Ulm;Eyth, Max;1906;;;229707;5.319.056.910.000.960;2.315.583.290.888.370
936;Aus dem Durchschnitt;Falke, Gustav;1900;;;32603;7.680.760.800.000.020;2.355.844.799.558.330
939;Der Mann im Nebel;Falke, Gustav;1899;;;38421;8.936.836.700.000.170;23.260.291.767.523.400
940;Die Kinder aus Ohlsens Gang;Falke, Gustav;1908;;;77450;18.432.300.399.999.600;2.379.896.759.199.430
963;Jungfer Therese;Federer, Heinrich;1913;;;79981;1.879.741.049.999.930;23.502.344.931.920.500
967;Maren;Fehrs, Johann Hinrich;1907;;;129467;14.133.319.500.000.600;10.916.542.053.187.800
980;Selim und Zoraïde;Fischer, Caroline Auguste;1802;;;6015;12.466.278.000.000.000;2.072.531.670.822.940
989;Wolf Eschenlohr;Flex, Walter;1919;;;20924;4.842.486.799.999.980;23.143.217.358.057.600
992;Meine Kinderjahre;Fontane, Theodor;1894;;;58903;132.570.103.000.007;22.506.511.213.351.900
995;Ein Sommer in London;Fontane, Theodor;1854;;;57853;1.333.582.620.000.030;2.305.122.672.981.570
1001;Die wunderbaren Begebenheiten des Grafen Alethes von Lindenstein;Fouqué, Friedrich Baron de la Motte;1817;;;66028;14.047.744.500.000.600;2.127.543.542.133.740
1002;Alwin;Fouqué, Friedrich Baron de la Motte;1808;;;73210;15.793.250.800.000.200;21.572.532.167.736.900
1005;Der Zauberring;Fouqué, Friedrich Baron de la Motte;1813;;;128445;29.014.864.299.999.300;225.893.295.184.704
1018;Das Kind der Sühne;Franzos, Karl Emil;1920;;;109450;23.900.806.199.998.800;21.837.191.594.334.200
1020;Der Stumme mit dem bösen Blick;Franzos, Karl Emil;1873;;;41340;9.005.449.500.000.110;21.783.864.296.081.500
1021;Judith Trachtenberg;Franzos, Karl Emil;1891;;;59058;1.307.725.100.000.050;22.143.064.445.122.600
1028;Ingo und Ingraban;Freytag, Gustav;1872;;;120096;28.082.322.399.999.300;23.383.228.750.332.500
1029;Marcus König;Freytag, Gustav;1876;;;100979;24.015.512.699.999.600;2.378.268.026.025.170
1040;Meister Robinson;"Fürst, Artur; Moszkowski, Alexander";1918;;;104855;2.574.038.389.999.810;24.548.551.714.270.200
1046;Der Dorfapostel;Ganghofer, Ludwig;1900;;;96158;2.119.002.579.999.950;22.036.674.847.646.100
1048;Edelweißkönig;Ganghofer, Ludwig;1886;;;70791;1.565.040.290.000.020;22.107.899.167.973.600
1050;Fliegender Sommer;Ganghofer, Ludwig;1892;;;60397;1.478.930.440.000.000;2.448.681.954.401.710
1053;Das Gotteslehen;Ganghofer, Ludwig;1899;;;90828;20.994.184.499.999.600;23.114.220.834.984.300
1055;Der hohe Schein;Ganghofer, Ludwig;1904;;;157039;35.733.664.000.002.400;22.754.643.114.132.400
1056;Der Jäger von Fall;Ganghofer, Ludwig;1883;;;58906;12.496.029.600.000.300;21.213.508.980.410.000
1058;Der laufende Berg;Ganghofer, Ludwig;1897;;;76147;16.937.964.299.999.900;2.224.377.099.557.420
1060;Ludwig Ganghofer;Ganghofer, Ludwig;1881;;;100775;2.388.967.889.999.890;2.370.595.772.760.990
1061;Die Martinsklause;Ganghofer, Ludwig;1894;;;167082;400.047.486.000.021;2.394.318.274.859.170
1066;Das Schweigen im Walde;Ganghofer, Ludwig;1899;;;105686;24.148.097.099.999.300;22.848.908.180.836.900
1067;Die Trutze von Trutzberg;Ganghofer, Ludwig;1915;;;115493;27.109.097.099.999.400;23.472.502.316.157.100
1068;Waldrausch;Ganghofer, Ludwig;1908;;;119497;26.818.147.899.998.800;22.442.528.180.622.700
1072;Venetianische Novellen;Gaudy, Franz Freiherr von;1838;;;90983;21.156.872.299.999.000;2.325.365.430.904.570
1084;Aus den Memoiren einer Berliner Range;Georgy, Ernst;1899;;;26740;6.475.080.500.000.000;2.421.496.073.298.430
1089;Unter dem Äquator;Gerstäcker, Friedrich;1861;;;183620;4.177.418.200.000.240;2.275.034.418.908.750
1090;Señor Aguila;Gerstäcker, Friedrich;1865;;;131630;3.057.202.990.000.020;2.322.573.114.031.770
1092;Nach Amerika! Erster Band;Gerstäcker, Friedrich;1889;;;58811;13.407.888.400.000.400;2.279.826.631.072.500
1093;Nach Amerika! Zweiter Band;Gerstäcker, Friedrich;1889;;;57849;13.556.497.800.000.300;23.434.282.010.061.200
1094;Die Blauen und Gelben;Gerstäcker, Friedrich;1870;;;176044;4.029.566.310.000.310;22.889.540.739.816.800
1096;General Franco;Gerstäcker, Friedrich;1865;;;130554;2.923.982.049.999.970;22.396.725.109.916.000
1098;Germelshausen;Gerstäcker, Friedrich;1860;;;9487;2.262.823.100.000.000;2.385.182.987.245.700
1099;Gold;Gerstäcker, Friedrich;1858;;;159907;3.813.161.050.000.190;2.384.611.711.807.610
1101;Im Busch;Gerstäcker, Friedrich;1864;;;90058;2.184.192.639.999.930;24.253.177.285.748.400
1103;Der Kunstreiter;Gerstäcker, Friedrich;1861;;;110117;2.567.189.009.999.870;2.331.328.505.135.330
1108;Unter den Pehuenchen;Gerstäcker, Friedrich;1867;;;114856;27.090.614.999.998.500;2.358.659.103.573.040
1111;Sträflinge;Gerstäcker, Friedrich;1850;;;81396;1.995.544.999.999.970;24.516.499.582.288.700
1115;Tahiti;Gerstäcker, Friedrich;1854;;;141009;3.357.721.040.000.180;23.812.104.475.602.100
1120;Jürnjakob Swehn der Amerikafahrer;Gillhoff, Johannes;1917;;;74150;16.508.241.300.000.300;2.226.330.586.648.720
1124;Die Gottesfreundin;Gjellerup, Karl;1918;;;81339;17.940.286.899.999.500;22.056.193.093.103.500
1125;Der Pilger Kamanita;Gjellerup, Karl;1907;;;72465;1.565.223.229.999.990;21.599.713.378.872.500
1126;Die Weltwanderer;Gjellerup, Karl;1900;;;134502;3.006.885.339.999.870;22.355.692.406.059.900
1141;Lemkes sel. Wwe.;Graeser, Erdmann;1907;;;85024;16.823.821.800.000.200;19.787.144.570.944.900
1151;Sonntage eines Großstädters in der Natur;Grottewitz, Curt;1906;;;21277;5.398.904.100.000.000;25.374.367.157.024.000
1161;Meister Jakob und seine Kinder;Guttenbrunn;1918;;;85108;18.756.010.199.999.400;22.037.893.265.027.300
1164;Hohenschwangau;Gutzkow, Karl;1867;;;221475;5.296.587.790.000.660;23.915.059.442.377.900
1175;Die Heilige und ihr Narr;Günther, Agnes;1913;;;105946;24.535.556.099.998;23.158.548.789.003.800
1176;Die Heilige und ihr Narr;Günther, Agnes;1913;;;117881;2.737.556.539.999.930;23.223.051.551.988.300
1179;Der Augenblick des Glücks – Aus den Memoiren eines fürstlichen Hofes;Hackländer, Friedrich Wilhelm;1857;;;96797;21.830.518.399.998.900;2.255.288.738.287.230
1180;Der letzte Bombardier;Hackländer, Friedrich Wilhelm;1870;;;255639;584.537.724.000.038;22.865.749.122.787.900
1183;Das Geheimniß der Stadt;Hackländer, Friedrich Wilhelm;1868;;;147600;3.258.366.669.999.960;2.207.565.494.579.910
1184;Handel und Wandel;Hackländer, Friedrich Wilhelm;1850;;;100417;23.445.054.999.999.100;23.347.695.111.384.600
1187;Namenlose Geschichten - Erster Band;Hackländer, Friedrich Wilhelm;1851;;;83332;19.277.837.699.999.300;2.313.377.538.040.530
1188;Namenlose Geschichten - Zweiter Band;Hackländer, Friedrich Wilhelm;1851;;;72973;16.713.536.199.999.800;2.290.372.630.973.080
1191;Eugen Stillfried - Erster Band;Hackländer, Friedrich Wilhelm;1852;;;78384;17.971.564.199.999.800;22.927.592.620.942.800
1197;Peregrin;Hahn-Hahn, Ida von;1864;;;157150;3.355.425.140.000.280;2.135.173.490.296.070
1204;Aspasia;Hamerling, Robert;1876;;;195374;42.349.502.800.006.100;21.676.120.056.919.600
1216;Schlumski;Harder, Agnes;1916;;;33522;8.022.956.700.000.050;23.933.407.016.287.900
1218;Das Haus der Titanen;Hart, Hans;1913;;;83295;21.105.576.199.999.200;25.338.347.079.655.700
1226;Der Krieg um den Wald / 1;Hartmann, Moritz;1850;;;52303;12.334.969.600.000.300;2.358.367.512.379.860
1233;Der Mann im Mond;Hauff, Wilhelm;1826;;;80297;18.046.331.000.000.000;22.474.477.253.197.500
1245;Elfriede;Hausrath, Adolf;1886;;;82180;18.980.278.399.999.700;2.309.598.247.748.810
1246;Jetta;Hausrath, Adolf;1884;;;133067;2.931.035.699.999.950;22.026.766.215.515.100
1247;Im Reiche der Homunkuliden;Hawel, Rudolf;1910;;;84742;2.025.774.179.999.920;2.390.519.671.473.320
1248;Dr. Thorns Lebensabend;Hawel, Rudolf;1916;;;93380;2.348.298.049.999.890;2.514.776.236.881.440
1255;Felix Notvest;Heer, Jakob Christoph;1901;;;75074;17.788.073.799.999.600;23.694.053.600.447.000
1256;Der lange Balthasar;Heer, Jakob Christoph;1915;;;53932;12.238.971.900.000.500;22.693.339.575.763.100
1257;Der König der Bernina;Heer, Jakob Christoph;1900;;;73455;16.835.110.299.999.500;2.291.894.397.930.640
1259;An heiligen Wassern;Heer, Jakob Christoph;1898;;;92744;21.624.319.699.999.700;23.316.138.725.955.000
1260;Laubgewind;Heer, Jakob Christoph;1908;;;77938;1.813.690.139.999.930;23.270.935.102.259.900
1263;Die Molkenkur;Hegner, Ulrich;1812;;;67197;14.509.865.700.000.500;2.159.302.602.794.850
1264;Apotheker Heinrich;Heiberg, Hermann;1885;;;84192;198.291.881.999.993;235.523.425.028.498
1265;Grevinde;Heiberg, Hermann;1898;;;61177;1.319.652.440.000.050;21.571.055.135.100.600
1266;Todsünden;Heiberg, Hermann;1891;;;87981;19.188.699.799.999.600;21.810.049.669.814.700
1267;Menschen untereinander;Heiberg, Hermann;1880;;;69150;1.598.611.439.999.970;23.118.025.162.689.400
1268;Eine vornehme Frau;Heiberg, Hermann;1895;;;59056;13.458.429.000.000.200;227.892.661.202.931
1270;Karl der Zwölfte und seine Krieger;Heidenstam, Verner von;1898;;;118937;2.858.424.870.000.040;24.033.100.464.952.400
1277;Aus dem Leben meiner alten Freundin;Heimburg, Wilhelmine;1879;;;82673;19.643.336.699.999.600;2.376.028.050.270.290
1278;Trudchens Heirat;Heimburg, Wilhelmine;1894;;;51522;12.289.272.100.000.400;23.852.474.865.107.000
1280;Die verborgene Schrift;Heine, Anselma;1918;;;151519;35.371.083.800.001.700;2.334.432.236.221.310
1285;Die Versuchung;Heun, Karl Gottlieb Samuel;1920;;;20421;4.386.558.400.000.010;2.148.062.484.697.130
1288;Ille mihi – Erster Band;Heyking, Elisabeth von;1912;;;51427;11.952.274.000.000.500;2.324.124.292.686.820
1289;Ille mihi – Zweiter Band;Heyking, Elisabeth von;1912;;;45321;10.493.978.900.000.400;23.154.782.330.487.800
1290;Liebe, Diplomatie und Holzhäuser;Heyking, Elisabeth von;1919;;;81777;18.115.025.399.999.400;2.215.173.630.727.390
1302;Gegen den Strom;Heyse, Paul;1907;;;64959;1.489.600.460.000.030;2.293.139.457.196.130
1310;Marienkind;Heyse, Paul;1892;;;29325;6.632.203.699.999.980;2.261.621.040.068.190
1315;Crone Stäudlin;Heyse, Paul;1904;;;72792;16.675.879.800.000.100;22.908.945.763.270.800
1322;Die Hassenburg;Hille, Peter;1905;;;31145;7.018.678.200.000.040;2.253.548.948.466.860
1325;Die Geier-Wally;Hillern, Wilhemine von;1880;;;56916;12.298.467.800.000.200;2.160.810.281.818.870
1338;Schwarzwaldau;Holtei, Karl von;1856;;;84011;17.795.106.199.999.600;2.118.187.642.094.440
1342;Vor Jahr und Tag;Holzamer, Wilhelm;1908;;;68223;1.458.857.630.000.010;2.138.366.284.097.760
1343;Ein Kind unserer Zeit;Horváth, Edmund Josef von;1830;;;42889;9.419.372.100.000.140;2.196.220.965.748.820
1348;Enzio::Enzio;Huch, Friedrich;1911;;;108375;2.338.122.700.000.000;21.574.373.241.061.100
1349;Mao;Huch, Friedrich;1907;;;45806;11.043.957.400.000.300;2.411.028.555.211.180
1350;Pitt und Fox::Pitt und Fox;Huch, Friedrich;1909;;;107479;2.435.238.929.999.900;2.265.781.157.249.230
1359;Die blutige Arena;Ibañez, Vicente Blasco;1920;;;84604;19.854.474.299.999.900;23.467.536.168.502.500
1362;Der Oberhof;Immermann, Karl;1839;;;116314;25.864.293.999.999.000;22.236.612.961.465.500
1377;Frau Marie Grubbe;Jacobsen, Jens Peter;1880;;;76549;1.737.042.229.999.960;22.691.899.698.232.000
1378;Sechs Novellen;Jacobsen, Jens Peter;1880;;;31687;735.697.880.000.004;2.321.765.645.217.290
1381;Die Pfeifer vom Dusenbach;Jensen, Wilhelm;1884;;;83191;19.077.530.899.999.200;229.322.052.866.287
1382;Vor der Elbmündung;Jensen, Wilhelm;1905;;;64865;14.158.561.600.000.200;2.182.773.699.221.490
1390;Nach Sonnenuntergang – Erstes Buch;Jensen, Wilhelm;1879;;;65957;14.628.336.700.000.100;22.178.596.206.619.600
1391;Nach Sonnenuntergang – Zweites Buch;Jensen, Wilhelm;1879;;;57489;12.828.272.900.000.200;2.231.430.865.035.090
1393;Aus See und Sand – Erster Band;Jensen, Wilhelm;1897;;;48579;10.903.995.500.000.300;22.445.903.579.736.700
1394;Aus See und Sand – Zweiter Band;Jensen, Wilhelm;1897;;;48314;10.844.322.100.000.300;22.445.506.685.433.500
1395;Der Tag von Stralsund;Jensen, Wilhelm;1890;;;27094;6.261.903.700.000.020;23.111.772.717.206.800
1396;Auf dem Vestenstein;Jensen, Wilhelm;1912;;;45327;10.126.342.100.000.300;22.340.640.457.123.300
1397;Drei Mann in einem Boot;Jerome, Jerome Klapka;1889;;;59556;13.924.451.800.000.200;23.380.434.884.814.600
1399;Kristiania Bohême;Jäger, Hans;1899;;;105746;2.375.335.679.999.920;22.462.652.771.735.300
1400;Schwarze Diamanten;Jókai, Maurus;1877;;;152178;3.544.598.520.000.270;23.292.450.419.904.700
1403;O Domina mea;Karrillon, Adam;1909;;;91840;2.198.609.839.999.910;239.395.670.731.698
1407;Hubertus;Keller, Paul;1916;;;62669;14.313.538.900.000.400;22.839.903.141.905.000
1408;Das letzte Märchen;Keller, Paul;1915;;;66526;1.551.643.019.999.990;2.332.385.864.173.390
1409;Der Sohn der Hagar;Keller, Paul;1910;;;63139;14.332.206.700.000.400;22.699.451.527.582.700
1411;Waldwinter;Keller, Paul;1902;;;79350;18.226.593.999.999.800;22.969.872.715.815.800
1413;Bunte Herzen - Zwei Novellen::Bunte Herzen;Keyserling, Eduard von;1909;;;26628;65.208.159.000.000.200;24.488.568.048.670.600
1416;Fräulein Rosa Herz;Keyserling, Eduard von;1887;;;95920;23.674.466.999.999.700;24.681.471.017.514.300
1418;Die dritte Stiege;Keyserling, Eduard von;1892;;;74648;16.957.223.199.999.800;22.716.245.847.175.800
1420;Schnee;Kielland, Alexander Lange;1889;;;36304;7.870.116.599.999.980;21.678.373.182.018.400
1433;Naulahka, das Staatsglück;Balestier, Rudyard Kipling und Wolcott;1900;;;85039;1.928.134.669.999.930;22.673.534.143.157.000
1441;Der Kavalier auf den Knien und andere Liebesgeschichten...;Klabund;1891;;;55427;11.947.609.100.000.400;21.555.575.982.825.000
1443;Mohammed;Klabund;1917;;;13212;3.330.074.999.999.980;25.204.927.338.782.800
1444;Moreau;Klabund;1915;;;13828;3.472.028.499.999.990;2.510.868.166.039.910
1447;Das Rätsel von Grünweide;Klemm, Johanna;1900;;;86150;20.015.155.599.999.600;2.323.291.421.938.440
1448;Der Faust der Morgenländer;Klinger, Friedrich Maximilian;1795;;;58849;11.647.848.800.000.800;1.979.277.268.942.690
1449;Geschichte Giafars des Barmeciden - Band 1;Klinger, Friedrich Maximilian;1791;;;51170;10.190.561.900.000.500;19.915.110.220.833.600
1450;Geschichte Giafars des Barmeciden - Band 2;Klinger, Friedrich Maximilian;1791;;;35130;6.937.979.599.999.980;1.974.944.378.024.470
1451;Reisen vor der Sündfluth;Klinger, Friedrich Maximilian;1795;;;79796;15.851.365.100.000.600;198.648.617.725.208
1452;Der Traum des Herrn Brick;Adolph, Friedrich Ludwig;1856;;;155322;32.934.056.900.000.900;21.203.729.606.881.800
1453;Geschichte Peter Clausens;Knigge, Adolph Freiherr;1783;;;108218;22.486.322.099.998.700;2.077.872.636.714.660
1454;Die Verirrungen des Philosophen oder Geschichte Ludwigs von Seelberg;Knigge, Adolph Freiherr;1787;;;101158;20.625.454.399.999.100;2.038.934.577.591.400
1459;Friedel Polten und ihre Rangen;Koch, Henny;1890;;;94066;23.377.776.399.999.000;2.485.252.524.822.890
1472;Der jüdische Gil Blas;Kohn, Joseph Seligmann;1834;;;37586;801.452.100.000.017;21.323.154.898.100.800
1473;Am Pflug;Kompert, Leopold;1855;;;103066;22.058.020.399.999.300;21.401.839.986.027.600
1493;Die Vestalinnen, Band 1;Kraft, Robert;1904;;;182943;4.406.909.670.000.670;24.088.976.730.460.700
1494;Die Vestalinnen, Band 2;Kraft, Robert;1904;;;186162;4.478.587.510.000.730;2.405.747.418.915.100
1495;Die Vestalinnen, Band 3;Kraft, Robert;1904;;;214749;51.801.785.500.011.300;2.412.201.477.073.760
1513;Schillers Heimatjahre;Kurz, Hermann;1843;;;200121;45.947.299.300.008.200;2.295.975.899.581.160
1519;Tropenarzt im Afrikanischen Busch;Külz, Ludwig;1906;;;100309;2.338.801.889.999.810;23.315.972.544.834.600
1524;Quinctius Heymeran von Flaming;Lafontaine, August;1795;;;296101;6.399.648.429.999.680;2.161.305.915.886.700
1532;Haß;Landsberger, Artur;1915;;;79546;1.685.734.950.000.030;2.119.195.119.804.930
1535;Wolfs Geschichten um ein Bürgerhaus -- Erstes Buch: Im Schatten Napoleons;Langewiesche, Wilhelm;1919;;;67734;15.584.245.900.000.200;23.008.010.600.289.700
1536;Wolfs Geschichten um ein Bürgerhaus – Zweites Buch: Vor Bismarcks Aufgang;Langewiesche, Wilhelm;1919;;;62805;14.379.017.400.000.300;2.289.470.169.572.540
1541;Frau Aleit;Lauff, Joseph von;1905;;;114396;2.607.530.599.999.910;227.938.966.397.419
1542;Anne-Susanne;Lauff, Joseph von;1915;;;89952;20.836.926.199.999.500;23.164.494.619.352.000
1543;Die Brinkschulte;Lauff, Joseph von;1913;;;95469;2.137.523.869.999.980;2.238.971.676.669.890
1544;Kärrekiek;Lauff, Joseph von;1902;;;69356;1.606.502.959.999.990;23.163.143.203.183.500
1545;Marie Verwahnen;Lauff, Joseph von;1903;;;62644;14.677.415.900.000.200;23.429.882.989.592.300
1546;Pittje Pittjewitt;Lauff, Joseph von;1903;;;107146;245.855.442.999.988;2.294.583.493.550.740
1547;Sankt Anne;Lauff, Joseph von;1908;;;94412;2.161.966.929.999.980;22.899.281.129.517.200
1548;Schnee;Lauff, Joseph von;1919;;;111169;24.539.786.599.998.500;2.207.430.722.593.390
1553;Die Tanzmamsell;Lauff, Joseph von;1907;;;107895;24.493.516.299.999.400;2.270.125.242.133.500
1556;Aspira;Laßwitz, Kurd;1904;;;56697;11.829.039.200.000.600;20.863.606.892.782.100
1557;Auf zwei Planeten;Laßwitz, Kurd;1897;;;203360;4.508.375.260.000.680;22.169.429.878.052.100
1558;Homchen und andere Erzählungen;Laßwitz, Kurd;1902;;;92203;1.957.505.989.999.930;21.230.393.696.516.700
1559;Homchen;Laßwitz, Kurd;1902;;;44469;9.845.829.000.000.350;22.140.882.412.467.900
1562;Sternentau;Laßwitz, Kurd;1909;;;78614;16.975.675.000.000.400;2.159.370.468.364.460
1570;In Knut Arnebergs Haus;Lie, Bernt;1901;;;56171;1.251.118.680.000.020;2.227.339.160.776.960
1571;Der Dreimaster »Zukunft«;Lie, Jonas;1874;;;56553;13.450.420.300.000.200;2.378.374.321.433.040
1572;Hof Gilje;Lie, Jonas;1894;;;51894;12.023.240.900.000.500;2.316.884.591.667.730
1573;Der Pfeiferkönig;Lienert, Meinrad;1909;;;52487;11.992.045.300.000.200;2.284.764.856.059.640
1575;Oberlin;Lienhard, Friedrich;1910;;;137650;32.642.992.600.001.800;23.714.487.904.105.900
1580;Der Gast;Lindau, Rudolf;1883;;;39913;9.480.446.800.000.070;2.375.277.929.496.670
1582;Liebesheiraten;Lindau, Rudolf;1894;;;46872;10.344.049.100.000.300;2.206.871.714.456.450
1590;Daphnis und Chloe;Longus;1838;;;28016;6.322.816.799.999.980;22.568.592.233.009.600
1593;Die Entzauberten;Loti, Pierre;1913;;;72896;16.540.047.000.000.200;2.268.992.400.131.720
1594;Islandfischer;Loti, Pierre;1888;;;52021;12.116.386.400.000.200;23.291.336.960.074.300
1595;Die Islandfischer;Loti, Pierre;1888;;;51045;12.304.153.800.000.300;24.104.523.067.882.000
1596;Die letzten Tage von Peking;Loti, Pierre;1890;;;61600;16.026.447.799.999.900;26.016.960.714.285.600
1597;Reise durch Persien;Loti, Pierre;1900;;;69498;17.815.729.699.999.400;25.634.881.147.658.000
